event_id,vehicle_id,timestamp,scene_type,weather,road_type,ego_speed,brake_acc,steering_angle,takeover,aeb_triggered,lane_confidence,object_type,object_confidence,ttc,lateral_offset,perception_status,planning_status,log_text
EVT_0001,VH_002,2026-01-01T08:07:00,城市路口两轮车疑似误刹,晴,城市路口,18.00,-5.47,-4.41,true,true,0.734,two_wheeler,0.463,1.02,-0.040,两轮车目标置信度波动,保守制动,城市路口两轮车横向切入后目标置信度波动，系统出现疑似误刹。
EVT_0002,VH_003,2026-01-01T08:14:00,城市路口两轮车疑似误刹,晴,城市路口,26.33,-4.36,1.14,false,false,0.814,two_wheeler,0.567,1.58,0.084,两轮车目标置信度波动,保守制动,城市路口两轮车横向切入后目标置信度波动，系统出现疑似误刹。
EVT_0003,VH_004,2026-01-01T08:21:00,城市路口两轮车疑似误刹,晴,城市路口,34.65,-3.25,6.69,false,true,0.894,two_wheeler,0.671,2.13,-0.158,两轮车目标置信度波动,保守制动,城市路口两轮车横向切入后目标置信度波动，系统出现疑似误刹。
EVT_0004,VH_005,2026-01-01T08:28:00,城市路口两轮车疑似误刹,晴,城市路口,18.49,-5.41,-4.08,false,false,0.739,two_wheeler,0.469,1.06,-0.033,两轮车目标置信度波动,保守制动,城市路口两轮车横向切入后目标置信度波动，系统出现疑似误刹。
EVT_0005,VH_006,2026-01-01T08:35:00,城市路口两轮车疑似误刹,晴,城市路口,26.82,-4.30,1.47,false,true,0.819,two_wheeler,0.573,1.61,0.092,两轮车目标置信度波动,保守制动,城市路口两轮车横向切入后目标置信度波动，系统出现疑似误刹。
EVT_0006,VH_007,2026-01-01T08:42:00,城市路口两轮车疑似误刹,晴,城市路口,35.14,-3.19,7.02,false,false,0.898,two_wheeler,0.677,2.17,-0.151,两轮车目标置信度波动,保守制动,城市路口两轮车横向切入后目标置信度波动，系统出现疑似误刹。
EVT_0007,VH_008,2026-01-01T08:49:00,城市路口两轮车疑似误刹,晴,城市路口,18.98,-5.34,-3.76,true,true,0.743,two_wheeler,0.475,1.09,-0.026,两轮车目标置信度波动,保守制动,城市路口两轮车横向切入后目标置信度波动，系统出现疑似误刹。
EVT_0008,VH_009,2026-01-01T08:56:00,城市路口两轮车疑似误刹,晴,城市路口,27.31,-4.23,1.80,false,false,0.823,two_wheeler,0.579,1.64,0.099,两轮车目标置信度波动,保守制动,城市路口两轮车横向切入后目标置信度波动，系统出现疑似误刹。
EVT_0009,VH_010,2026-01-01T09:03:00,城市路口两轮车疑似误刹,晴,城市路口,35.63,-3.12,7.35,false,true,0.903,two_wheeler,0.683,2.20,-0.143,两轮车目标置信度波动,保守制动,城市路口两轮车横向切入后目标置信度波动，系统出现疑似误刹。
EVT_0010,VH_011,2026-01-01T09:10:00,城市路口两轮车疑似误刹,晴,城市路口,19.47,-5.28,-3.43,false,false,0.748,two_wheeler,0.481,1.12,-0.018,两轮车目标置信度波动,保守制动,城市路口两轮车横向切入后目标置信度波动，系统出现疑似误刹。
EVT_0011,VH_012,2026-01-01T09:17:00,城市路口两轮车疑似误刹,晴,城市路口,27.80,-4.17,2.12,false,true,0.828,two_wheeler,0.585,1.68,0.107,两轮车目标置信度波动,保守制动,城市路口两轮车横向切入后目标置信度波动，系统出现疑似误刹。
EVT_0012,VH_013,2026-01-01T09:24:00,城市路口两轮车疑似误刹,晴,城市路口,36.12,-3.06,7.67,false,false,0.908,two_wheeler,0.689,0.60,-0.136,两轮车目标置信度波动,保守制动,城市路口两轮车横向切入后目标置信度波动，系统出现疑似误刹。
EVT_0013,VH_014,2026-01-01T09:31:00,城市路口两轮车疑似误刹,晴,城市路口,19.96,-5.21,-3.10,true,true,0.753,two_wheeler,0.487,1.16,-0.011,两轮车目标置信度波动,保守制动,城市路口两轮车横向切入后目标置信度波动，系统出现疑似误刹。
EVT_0014,VH_015,2026-01-01T09:38:00,城市路口两轮车疑似误刹,晴,城市路口,28.29,-4.10,2.45,false,false,0.833,two_wheeler,0.591,1.71,0.114,两轮车目标置信度波动,保守制动,城市路口两轮车横向切入后目标置信度波动，系统出现疑似误刹。
EVT_0015,VH_016,2026-01-01T09:45:00,城市路口两轮车疑似误刹,晴,城市路口,36.61,-2.99,8.00,false,true,0.912,two_wheeler,0.696,0.63,-0.129,两轮车目标置信度波动,保守制动,城市路口两轮车横向切入后目标置信度波动，系统出现疑似误刹。
EVT_0016,VH_017,2026-01-01T09:52:00,城市路口两轮车疑似误刹,晴,城市路口,20.45,-5.15,-2.78,false,false,0.758,two_wheeler,0.493,1.19,-0.004,两轮车目标置信度波动,保守制动,城市路口两轮车横向切入后目标置信度波动，系统出现疑似误刹。
EVT_0017,VH_018,2026-01-01T09:59:00,城市路口两轮车疑似误刹,晴,城市路口,28.78,-4.04,2.78,false,true,0.837,two_wheeler,0.598,1.74,0.121,两轮车目标置信度波动,保守制动,城市路口两轮车横向切入后目标置信度波动，系统出现疑似误刹。
EVT_0018,VH_019,2026-01-01T10:06:00,城市路口两轮车疑似误刹,晴,城市路口,37.10,-2.93,-8.00,false,false,0.917,two_wheeler,0.702,0.67,-0.121,两轮车目标置信度波动,保守制动,城市路口两轮车横向切入后目标置信度波动，系统出现疑似误刹。
EVT_0019,VH_020,2026-01-01T10:13:00,城市路口两轮车疑似误刹,晴,城市路口,20.94,-5.08,-2.45,true,true,0.762,two_wheeler,0.500,1.22,0.004,两轮车目标置信度波动,保守制动,城市路口两轮车横向切入后目标置信度波动，系统出现疑似误刹。
EVT_0020,VH_021,2026-01-01T10:20:00,城市路口两轮车疑似误刹,晴,城市路口,29.27,-3.97,3.10,false,false,0.842,two_wheeler,0.604,1.78,0.129,两轮车目标置信度波动,保守制动,城市路口两轮车横向切入后目标置信度波动，系统出现疑似误刹。
EVT_0021,VH_022,2026-01-01T10:27:00,城市路口两轮车疑似误刹,晴,城市路口,37.59,-2.86,-7.67,false,true,0.922,two_wheeler,0.708,0.70,-0.114,两轮车目标置信度波动,保守制动,城市路口两轮车横向切入后目标置信度波动，系统出现疑似误刹。
EVT_0022,VH_023,2026-01-01T10:34:00,城市路口两轮车疑似误刹,晴,城市路口,21.43,-5.02,-2.12,false,false,0.767,two_wheeler,0.506,1.25,0.011,两轮车目标置信度波动,保守制动,城市路口两轮车横向切入后目标置信度波动，系统出现疑似误刹。
EVT_0023,VH_024,2026-01-01T10:41:00,城市路口两轮车疑似误刹,晴,城市路口,29.76,-3.91,3.43,false,true,0.847,two_wheeler,0.610,1.81,0.136,两轮车目标置信度波动,保守制动,城市路口两轮车横向切入后目标置信度波动，系统出现疑似误刹。
EVT_0024,VH_025,2026-01-01T10:48:00,城市路口两轮车疑似误刹,晴,城市路口,38.08,-2.80,-7.35,false,false,0.927,two_wheeler,0.714,0.73,-0.107,两轮车目标置信度波动,保守制动,城市路口两轮车横向切入后目标置信度波动，系统出现疑似误刹。
EVT_0025,VH_026,2026-01-01T10:55:00,城市路口两轮车疑似误刹,晴,城市路口,21.92,-4.95,-1.80,true,true,0.772,two_wheeler,0.512,1.29,0.018,两轮车目标置信度波动,保守制动,城市路口两轮车横向切入后目标置信度波动，系统出现疑似误刹。
EVT_0026,VH_027,2026-01-01T11:02:00,城市路口两轮车疑似误刹,晴,城市路口,30.24,-3.84,3.76,false,false,0.851,two_wheeler,0.616,1.84,0.143,两轮车目标置信度波动,保守制动,城市路口两轮车横向切入后目标置信度波动，系统出现疑似误刹。
EVT_0027,VH_028,2026-01-01T11:09:00,城市路口两轮车疑似误刹,晴,城市路口,38.57,-2.73,-7.02,false,true,0.931,two_wheeler,0.720,0.76,-0.099,两轮车目标置信度波动,保守制动,城市路口两轮车横向切入后目标置信度波动，系统出现疑似误刹。
EVT_0028,VH_029,2026-01-01T11:16:00,城市路口两轮车疑似误刹,晴,城市路口,22.41,-4.89,-1.47,false,false,0.776,two_wheeler,0.518,1.32,0.026,两轮车目标置信度波动,保守制动,城市路口两轮车横向切入后目标置信度波动，系统出现疑似误刹。
EVT_0029,VH_030,2026-01-01T11:23:00,城市路口两轮车疑似误刹,晴,城市路口,30.73,-3.78,4.08,false,true,0.856,two_wheeler,0.622,1.87,0.151,两轮车目标置信度波动,保守制动,城市路口两轮车横向切入后目标置信度波动，系统出现疑似误刹。
EVT_0030,VH_031,2026-01-01T11:30:00,城市路口两轮车疑似误刹,晴,城市路口,39.06,-2.67,-6.69,false,false,0.936,two_wheeler,0.420,0.80,-0.092,两轮车目标置信度波动,保守制动,城市路口两轮车横向切入后目标置信度波动，系统出现疑似误刹。
EVT_0031,VH_032,2026-01-01T11:37:00,城市路口两轮车疑似误刹,晴,城市路口,22.90,-4.82,-1.14,true,true,0.781,two_wheeler,0.524,1.35,0.033,两轮车目标置信度波动,保守制动,城市路口两轮车横向切入后目标置信度波动，系统出现疑似误刹。
EVT_0032,VH_033,2026-01-01T11:44:00,城市路口两轮车疑似误刹,晴,城市路口,31.22,-3.71,4.41,false,false,0.861,two_wheeler,0.628,1.91,0.158,两轮车目标置信度波动,保守制动,城市路口两轮车横向切入后目标置信度波动，系统出现疑似误刹。
EVT_0033,VH_034,2026-01-01T11:51:00,城市路口两轮车疑似误刹,晴,城市路口,39.55,-2.60,-6.37,false,true,0.941,two_wheeler,0.426,0.83,-0.084,两轮车目标置信度波动,保守制动,城市路口两轮车横向切入后目标置信度波动，系统出现疑似误刹。
EVT_0034,VH_035,2026-01-01T11:58:00,城市路口两轮车疑似误刹,晴,城市路口,23.39,-4.76,-0.82,false,false,0.786,two_wheeler,0.530,1.38,0.040,两轮车目标置信度波动,保守制动,城市路口两轮车横向切入后目标置信度波动，系统出现疑似误刹。
